Gene ID	Found in	Non-hypothetical Annotation	Which Annotation	Hypothetical Annotation	Which Annotation
NC_000913:complement(2174282..2174566):CDS	nc_000913	"galactitol-specific enzyme iib component of pts"	nc_000913		
NC_000913:complement(2174597..2175049):CDS	nc_000913	"galactitol-specific enzyme iia component of pts"	nc_000913		
NC_000913:complement(2175059..2176321):CDS	nc_000913	"d-tagatose 1,6-bisphosphate aldolase 2, subunit"	nc_000913		
NC_000913:complement(2176350..2177204):CDS	nc_000913	"d-tagatose 1,6-bisphosphate aldolase 2, catalytic subunit"	nc_000913		
NC_000913:complement(2177512..2178564):CDS	nc_000913	"fructose-bisphosphate aldolase class i"	nc_000913		
NC_000913:2178821..2180098:CDS	nc_000913	"nucleoside transporter, low affinity"	nc_000913		
NC_000913:2180095..2181099:CDS	nc_000913	"adp-ribosylglycohydrolase family protein"	nc_000913		
NC_000913:2181096..2182061:CDS	nc_000913	"putative kinase"	nc_000913		
NC_000913:complement(2182035..2182781):CDS	nc_000913	"putative dna-binding transcriptional regulator"	nc_000913		
NC_000913:complement(2182833..2183651):CDS	nc_000913	"putative family 25 glycosyl hydrolase"	nc_000913		
NC_000913:complement(2183716..2184516):CDS	nc_000913	"hydroxy-methylpyrimidine kinase and hydroxy-phosphomethylpyrimidine kinase"	nc_000913		
NC_000913:complement(2184513..2185301):CDS	nc_000913	"hydoxyethylthiazole kinase"	nc_000913		
NC_000913:complement(2185524..2185796):CDS	nc_000913	"transcriptional repressor of rcna"	nc_000913		
NC_000913:2185917..2186741:CDS	nc_000913	"membrane protein conferring nickel and cobalt resistance"	nc_000913		
NC_000913:2186960..2187298:CDS	nc_000913	"periplasmic modulator of ni and co efflux"	nc_000913		
NC_000913:complement(2187380..2188414):CDS	nc_000913	"putative fimbrial-like adhesin protein"	nc_000913		
NC_000913:complement(2188430..2190910):CDS	nc_000913	"putative outer membrane protein"	nc_000913		
NC_000913:complement(2190926..2191645):CDS	nc_000913	"putative periplasmic pilin chaperone"	nc_000913		
NC_000913:complement(2191680..2192222):CDS	nc_000913	"putative fimbrial-like adhesin protein"	nc_000913		
NC_000913:complement(2192515..2192796):CDS	nc_000913	"duf2574 family protein"	nc_000913		
NC_000913:complement(2193059..2194168):CDS	nc_000913	"antiporter inner membrane protein"	nc_000913		
NC_000913:2194300..2196333:CDS	nc_000913	"methionyl-trna synthetase"	nc_000913		
NC_000913:join(2196474..2199320,2199322..2200269):CDS	nc_000913		nc_000913		
NC_000913:2200279..2203911:CDS	nc_000913	"duf4132 domain-containing protein"	nc_000913		
NC_000913:2203972..2204289:CDS	nc_000913	"uncharacterized protein"	nc_000913		
NC_000913:2204596..2205684:CDS	nc_000913	"putative hexameric aaa+ moxr family atpase"	nc_000913		
NC_000913:2205695..2207974:CDS	nc_000913	"uncharacterized protein"	nc_000913		
NC_000913:2207967..2209103:CDS	nc_000913	"vma domain putative yehl atpase stimulator"	nc_000913		
NC_000913:2209100..2211100:CDS	nc_000913		nc_000913		
NC_000913:2211225..2211686:CDS	nc_000913	"lipoprotein, duf1307 family"	nc_000913		
NC_000913:complement(2211726..2212196):CDS	nc_000913	"duf1456 family protein"	nc_000913		
NC_000913:complement(2212243..2212962):CDS	nc_000913	"putative response regulator in two-component system withyehu"	nc_000913		
NC_000913:complement(2212959..2214644):CDS	nc_000913	"inner membrane putative sensory kinase in two-component system with yeht"	nc_000913		
NC_000913:2214866..2215597:CDS	nc_000913	"transcriptional activator of csgd and csgba"	nc_000913		
NC_000913:2215657..2215764:CDS	nc_000913	"putative membrane protein"	nc_000913		
NC_000913:complement(2215745..2216476):CDS	nc_000913	"putative abc transporter permease"	nc_000913		
NC_000913:complement(2216481..2217407):CDS	nc_000913	"putative abc transporter atpase"	nc_000913		
NC_000913:complement(2217400..2218557):CDS	nc_000913	"putative abc transporter permease"	nc_000913		
NC_000913:complement(2218564..2219481):CDS	nc_000913	"putative abc transporter periplasmic binding protein"	nc_000913		
NC_000913:complement(2219692..2221989):CDS	nc_000913	"beta-d-glucoside glucohydrolase, periplasmic"	nc_000913		
NC_000913:2222185..2223900:CDS	nc_000913	"d-lactate dehydrogenase, fad-binding, nadh independent"	nc_000913		
NC_000913:complement(2223938..2224870):CDS	nc_000913	"d-alanyl-d-alanine endopeptidase"	nc_000913		
NC_000913:complement(2225044..2225631):CDS	nc_000913	"yip1 family inner membrane protein"	nc_000913		
NC_000913:2225801..2226379:CDS	nc_000913	"deda family inner membrane protein"	nc_000913		
NC_000913:complement(2226509..2227270):CDS	nc_000913	"putative oxidoreductase"	nc_000913		
NC_000913:complement(join(2227323..2228609,2228609..2228758)):CDS	nc_000913		nc_000913		
NC_000913:2228982..2229065:CDS	nc_000913	"uncharacterized protein"	nc_000913		
NC_000913:complement(2229438..2230385):CDS	nc_000913	"trna-dihydrouridine synthase c"	nc_000913		
NC_000913:2230624..2231022:CDS	nc_000913	"upf0299 family inner membrane protein"	nc_000913		
NC_000913:2231019..2231714:CDS	nc_000913	"lrgb family inner membrane protein"	nc_000913		
NC_000913:2231844..2232728:CDS	nc_000913	"cytidine/deoxycytidine deaminase"	nc_000913		
NC_000913:2232878..2233597:CDS	nc_000913	"duf218 superfamily vancomycin high temperature exclusion protein"	nc_000913		
NC_000913:2233600..2233839:CDS	nc_000913	"duf2542 family protein"	nc_000913		
NC_000913:2234033..2235271:CDS	nc_000913	"dihydropyrimidine dehydrogenase, nadh-dependent, subunit n"	nc_000913		
NC_000913:2235265..2236500:CDS	nc_000913	"dihydropyrimidine dehydrogenase, nadh-dependent, subunit c"	nc_000913		
NC_000913:complement(2236743..2237753):CDS	nc_000913	"methyl-galactoside transporter subunit"	nc_000913		
NC_000913:complement(2237769..2239289):CDS	nc_000913	"methyl-galactoside abc transporter atpase"	nc_000913		
NC_000913:complement(2239350..2240348):CDS	nc_000913	"methyl-galactoside transporter subunit"	nc_000913		
NC_000913:complement(2240628..2241668):CDS	nc_000913	"galactose- and fucose-inducible galactose regulon transcriptional isorepressor; mgl operon transcriptional repressor; autorepressor"	nc_000913		
NC_000913:complement(2241810..2242967):CDS	nc_000913	"duf418 family putative inner membrane protein"	nc_000913		
NC_000913:complement(2242984..2243652):CDS	nc_000913	"gtp cyclohydrolase i"	nc_000913		
NC_000913:2243910..2244746:CDS	nc_000913	"s-formylglutathione hydrolase"	nc_000913		
NC_000913:complement(2244778..2246769):CDS	nc_000913	"colicin ia outer membrane receptor and translocator; ferric iron-catecholate transporter"	nc_000913		
NC_000913:complement(2247063..2248532):CDS	nc_000913	"lysine transporter"	nc_000913		
NC_000913:complement(2248737..2249618):CDS	nc_000913	"putative dna-binding transcriptional regulator"	nc_000913		
NC_000913:2249717..2250766:CDS	nc_000913	"upf0324 family inner membrane protein"	nc_000913		
NC_000913:2250840..2251697:CDS	nc_000913	"endonuclease iv with intrinsic 3'-5' exonuclease activity"	nc_000913		
NC_000913:2251700..2252788:CDS	nc_000913	"putative kinase"	nc_000913		
NC_000913:complement(2252895..2254145):CDS	nc_000913	"nucleoside permease"	nc_000913		
NC_000913:complement(2254245..2255186):CDS	nc_000913	"ribonucleoside hydrolase 2"	nc_000913		
NC_000913:2255355..2256014:CDS	nc_000913	"putative transcriptional regulator"	nc_000913		
NC_000913:complement(2256085..2257335):CDS	nc_000913	"putative nucleoside transporter"	nc_000913		
NC_000913:complement(2257429..2258367):CDS	nc_000913	"pseudouridine 5'-phosphate glycosidase"	nc_000913		
NC_000913:complement(2258355..2259296):CDS	nc_000913	"pseudouridine kinase"	nc_000913		
NC_000913:complement(2259719..2261410):CDS	nc_000913	"fused fructose-specific pts enzymes: iibcomponent/iic components"	nc_000913		
NC_000913:complement(2261427..2262365):CDS	nc_000913	"fructose-1-phosphate kinase"	nc_000913		
NC_000913:complement(2262365..2263495):CDS	nc_000913	"fused fructose-specific pts enzymes: iia component/hpr component"	nc_000913		
NC_000913:2263863..2265044:CDS	nc_000913	"lactose/glucose efflux system"	nc_000913		
NC_000913:complement(2265041..2265295):CDS	nc_000913	"upf0153 cysteine cluster protein"	nc_000913		
NC_000913:2265450..2266022:CDS	nc_000913	"elongation factor p-like protein"	nc_000913		
NC_000913:2266245..2267711:CDS	nc_000913	"putative nad-dependent d-mannonate oxidoreductase"	nc_000913		
NC_000913:2267829..2268815:CDS	nc_000913	"zn-stimulated gtpase involved in zinc homeostasis; mutants are cadmium and edta sensitive; zn(2+) binding protein"	nc_000913		
NC_000913:2268854..2269567:CDS	nc_000913	"lipid a 1-diphosphate synthase; undecaprenyl pyrophosphate:lipid a 1-phosphate phosphotransferase"	nc_000913		
NC_000913:2269979..2270545:CDS	nc_000913	"murein dd-endopeptidase, space-maker hydrolase, mutational suppressor of prc thermosensitivity, outer membrane lipoprotein, weak murein ld-carboxypeptidase"	nc_000913		
NC_000913:2270726..2272282:CDS	nc_000913	"resistance protein for phages lambda and n4, putative membrane-anchored cyclic-di-gmp phosphodiesterase"	nc_000913		
NC_000913:2272364..2274178:CDS	nc_000913	"microcin c abc transporter periplasmic binding protein"	nc_000913		
NC_000913:2274179..2275273:CDS	nc_000913	"microcin c abc transporter permease"	nc_000913		
NC_000913:2275273..2276298:CDS	nc_000913	"microcin c abc transporter permease"	nc_000913		
NC_000913:2276300..2277889:CDS	nc_000913	"microcin c abc transporter atpase"	nc_000913		
NC_000913:complement(2277893..2278237):CDS	nc_000913	"uncharacterized protein"	nc_000913		
NC_000913:complement(2278570..2279760):CDS	nc_000913	"bicyclomycin/cysteine/sulfonamide efflux transporter"	nc_000913		
NC_000913:complement(2279788..2280483):CDS	nc_000913	"16s rrna pseudouridine(516) synthase"	nc_000913		
NC_000913:2280632..2282392:CDS	nc_000913	"putative atp-dependent dna or rna helicase"	nc_000913		
NC_000913:2282517..2282801:CDS	nc_000913	"50s ribosomal subunit protein l25"	nc_000913		
NC_000913:complement(2282940..2283947):CDS	nc_000913	"spermidine nucleoid-associated protein"	nc_000913		
NC_000913:2284129..2284356:CDS	nc_000913	"upf0352 family protein"	nc_000913		
NC_000913:2284376..2286136:CDS	nc_000913	"essential inner membrane duf3413 domain-containing protein; lipid a production and membrane permeability factor"	nc_000913		
NC_000913:complement(join(2286390..2288914,2290114..2290180)):CDS	nc_000913		nc_000913		
NC_000913:complement(2289065..2290081):CDS	nc_000913	"is5 transposase and trans-activator"	nc_000913		
NC_000913:2290500..2291147:CDS	nc_000913	"response regulator in two-component regulatory system with narq"	nc_000913		
NC_000913:complement(2291358..2292410):CDS	nc_000913	"heme lyase, ccmh subunit"	nc_000913		
NC_000913:complement(2292407..2292964):CDS	nc_000913	"periplasmic thioredoxin of cytochrome c-type biogenesis"	nc_000913		
NC_000913:complement(2292961..2294904):CDS	nc_000913	"heme lyase, ccmf subunit"	nc_000913		
NC_000913:complement(2294901..2295380):CDS	nc_000913	"periplasmic heme chaperone"	nc_000913		
NC_000913:complement(2295377..2295586):CDS	nc_000913	"cytochrome c biogenesis protein; heme export abc transporter holo-ccme release factor"	nc_000913		
NC_000913:complement(2295583..2296320):CDS	nc_000913	"heme export abc transporter permease; ccme-interacting protein"	nc_000913		
NC_000913:complement(2296362..2297024):CDS	nc_000913	"heme export abc transporter permease"	nc_000913		
NC_000913:complement(2297021..2297644):CDS	nc_000913	"heme export abc transporter atpase"	nc_000913		
NC_000913:complement(2297657..2298259):CDS	nc_000913	"quinol dehydrogenase, electron source for napab"	nc_000913		
NC_000913:complement(2298269..2298718):CDS	nc_000913	"nitrate reductase, small, cytochrome c550 subunit, periplasmic"	nc_000913		
NC_000913:complement(2298715..2299578):CDS	nc_000913	"ferredoxin-type protein"	nc_000913		
NC_000913:complement(2299565..2300260):CDS	nc_000913	"ferredoxin-type protein"	nc_000913		
NC_000913:complement(2300267..2302753):CDS	nc_000913	"nitrate reductase, periplasmic, large subunit"	nc_000913		
NC_000913:complement(2302750..2303013):CDS	nc_000913	"assembly protein for periplasmic nitrate reductase"	nc_000913		
NC_000913:complement(2303003..2303497):CDS	nc_000913	"ferredoxin-type protein, role in electron transfer to periplasmic nitrate reductase napa"	nc_000913		
NC_000913:2303905..2304393:CDS	nc_000913	"ecotin, a serine protease inhibitor"	nc_000913		
NC_000913:complement(2305108..2306754):CDS	nc_000913	"malate dehydrogenase, fad/nad(p)-binding domain"	nc_000913		
NC_000913:complement(2306972..2308615):CDS	nc_000913	"microcin j25 efflux abc transporter permease/atpase"	nc_000913		
NC_000913:complement(2308691..2309341):CDS	nc_000913	"oxidative demethylase of n1-methyladenine or n3-methylcytosine dna lesions"	nc_000913		
NC_000913:complement(2309341..2310405):CDS	nc_000913	"fused dna-binding transcriptional dual regulator/o6-methylguanine-dna methyltransferase"	nc_000913		
NC_000913:complement(2310479..2311534):CDS	nc_000913	"putative thiamine-synthetic flavin transferase lipoprotein"	nc_000913		
NC_000913:complement(2311646..2312749):CDS	nc_000913	"outer membrane porin protein c"	nc_000913		
NC_000913:2313488..2316160:CDS	nc_000913	"phosphotransfer intermediate protein in two-component regulatory system with rcsbc"	nc_000913		
NC_000913:2316177..2316827:CDS	nc_000913	"response regulator in two-component regulatory system with rcsc and yojn"	nc_000913		
NC_000913:complement(2317027..2319876):CDS	nc_000913	"hybrid sensory kinase in two-component regulatory system with rcsb and yojn"	nc_000913		
NC_000913:2320043..2321869:CDS	nc_000913	"sensory histidine kinase in two-component regulatory system with atoc"	nc_000913		
NC_000913:2321866..2323251:CDS	nc_000913	"fused response regulator of ato operon, in two-component system with atos: response regulator/sigma54 interaction protein"	nc_000913		
NC_000913:2323447..2324109:CDS	nc_000913	"acetyl-coa:acetoacetyl-coa transferase, alpha subunit"	nc_000913		
NC_000913:2324109..2324759:CDS	nc_000913	"acetyl-coa:acetoacetyl-coa transferase, beta subunit"	nc_000913		
NC_000913:2324756..2326078:CDS	nc_000913	"short chain fatty acid transporter"	nc_000913		
NC_000913:2326109..2327293:CDS	nc_000913	"acetyl-coa acetyltransferase"	nc_000913		
NC_000913:complement(2327367..2328143):CDS	nc_000913	"duf2135 family protein, putative host defense protein"	nc_000913		
NC_000913:complement(2328148..2329797):CDS	nc_000913	"tandem duf2300 domain protein, putative host defense protein"	nc_000913		
NC_000913:complement(2329798..2334402):CDS	nc_000913		nc_000913		
NC_000913:complement(2334336..2334959):CDS	nc_000913	"duf1175 family protein, putative host defense protein"	nc_000913		
NC_000913:complement(2334956..2336644):CDS	nc_000913	"duf2138 family protein, putative host defense protein"	nc_000913		
NC_000913:complement(2336793..2339420):CDS	nc_000913	"dna gyrase (type ii topoisomerase), subunit a"	nc_000913		
NC_000913:2339567..2340289:CDS	nc_000913	"bifunctional 3-demethylubiquinone-9 3-methyltransferase/ 2-octaprenyl-6-hydroxy phenol methylase"	nc_000913		
NC_000913:complement(2340417..2344169):CDS	nc_000913	"adhesin"	nc_000913		
NC_000913:2344865..2347150:CDS	nc_000913	"ribonucleoside-diphosphate reductase 1, alpha subunit"	nc_000913		
