Gene ID	Found in	Non-hypothetical Annotation	Which Annotation	Hypothetical Annotation	Which Annotation
NC_000913:190..255:CDS	nc_000913 & bop27	"thr operon leader peptide" || "thr operon leader peptide"	nc_000913 || bop27		
NC_000913:337..2799:CDS	nc_000913 & bop27	"bifunctional aspartokinase/homoserine dehydrogenase 1" || "bifunctional aspartokinase/homoserine dehydrogenase 1"	nc_000913 || bop27		
NC_000913:2801..3733:CDS	nc_000913 & bop27	"homoserine kinase" || "homoserine kinase"	nc_000913 || bop27		
NC_000913:3734..5020:CDS	nc_000913 & bop27	"l-threonine synthase" || "l-threonine synthase"	nc_000913 || bop27		
NC_000913:5234..5530:CDS	nc_000913 & bop27	"duf2502 family putative periplasmic protein" || "duf2502 family putative periplasmic protein"	nc_000913 || bop27		
NC_000913:complement(5683..6459):CDS	nc_000913 & bop27	"peroxide resistance protein, lowers intracellular iron" || "peroxide resistance protein, lowers intracellular iron"	nc_000913 || bop27		
NC_000913:complement(6529..7959):CDS	nc_000913 & bop27	"putative transporter" || "putative transporter"	nc_000913 || bop27		
NC_000913:8238..9191:CDS	nc_000913 & bop27	"transaldolase b" || "transaldolase b"	nc_000913 || bop27		
NC_000913:9306..9893:CDS	nc_000913 & bop27	"molybdochelatase incorporating molybdenum into molybdopterin" || "molybdochelatase incorporating molybdenum into molybdopterin"	nc_000913 || bop27		
NC_000913:complement(9928..10494):CDS	nc_000913 & bop27	"succinate-acetate transporter" || "succinate-acetate transporter"	nc_000913 || bop27		
NC_000913:complement(10643..11356):CDS	nc_000913 & bop27	"upf0174 family protein" || "upf0174 family protein"	nc_000913 || bop27		
NC_000913:complement(11382..11786):CDS	nc_000913 & bop27	"upf0412 family protein" || "upf0412 family protein"	nc_000913 || bop27		
NC_000913:12163..14079:CDS	nc_000913 & bop27	"chaperone hsp70, with co-chaperone dnaj" || "chaperone hsp70, with co-chaperone dnaj"	nc_000913 || bop27		
NC_000913:14168..15298:CDS	nc_000913 & bop27	"chaperone hsp40, dnak co-chaperone" || "chaperone hsp40, dnak co-chaperone"	nc_000913 || bop27		
NC_000913:15445..16557:CDS	nc_000913 & bop27	"is186 transposase" || "is186 transposase"	nc_000913 || bop27		
NC_000913:complement(16751..16960):CDS	nc_000913 & bop27	"regulatory protein for hokc, overlaps cds of hokc" || "regulatory protein for hokc, overlaps cds of hokc"	nc_000913 || bop27		
NC_000913:complement(16751..16903):CDS	nc_000913 & bop27	"toxic membrane protein, small" || "toxic membrane protein, small"	nc_000913 || bop27		
NC_000913:16952..17006:ncRNA	nc_000913 & bop27	"srna antisense regulator blocking mokc, and hence hokc, translation" || "srna antisense regulator blocking mokc, and hence hokc, translation"	nc_000913 || bop27		
NC_000913:17489..18655:CDS	nc_000913 & bop27	"sodium-proton antiporter" || "sodium-proton antiporter"	nc_000913 || bop27		
NC_000913:18715..19620:CDS	nc_000913 & bop27	"transcriptional activator of nhaa" || "transcriptional activator of nhaa"	nc_000913 || bop27		
NC_000913:complement(19811..20314):CDS	nc_000913 & bop27	"is1 transposase b" || "is1 transposase b"	nc_000913 || bop27		
NC_000913:complement(20233..20508):CDS	nc_000913 & bop27	"is1 repressor tnpa" || "is1 repressor tnpa"	nc_000913 || bop27		
NC_000913:complement(20815..21078):CDS	nc_000913 & bop27	"30s ribosomal subunit protein s20" || "30s ribosomal subunit protein s20"	nc_000913 || bop27		
NC_000913:21181..21399:CDS	nc_000913 & bop27	"uncharacterized protein" || "uncharacterized protein"	nc_000913 || bop27		
NC_000913:21407..22348:CDS	nc_000913 & bop27	"bifunctional riboflavin kinase/fad synthetase" || "bifunctional riboflavin kinase/fad synthetase"	nc_000913 || bop27		
NC_000913:22391..25207:CDS	nc_000913 & bop27	"isoleucyl-trna synthetase" || "isoleucyl-trna synthetase"	nc_000913 || bop27		
NC_000913:25207..25701:CDS	nc_000913 & bop27	"prolipoprotein signal peptidase (signal peptidase ii)" || "prolipoprotein signal peptidase (signal peptidase ii)"	nc_000913 || bop27		
NC_000913:25826..26275:CDS	nc_000913 & bop27	"fkbp-type peptidyl-prolyl cis-trans isomerase (rotamase)" || "fkbp-type peptidyl-prolyl cis-trans isomerase (rotamase)"	nc_000913 || bop27		
NC_000913:26277..27227:CDS	nc_000913 & bop27	"4-hydroxy-3-methylbut-2-enyl diphosphate reductase, 4fe-4s protein" || "4-hydroxy-3-methylbut-2-enyl diphosphate reductase, 4fe-4s protein"	nc_000913 || bop27		
NC_000913:27293..28207:CDS	nc_000913 & bop27	"ribonucleoside hydrolase 3" || "ribonucleoside hydrolase 3"	nc_000913 || bop27		
NC_000913:28374..29195:CDS	nc_000913 & bop27	"dihydrodipicolinate reductase" || "dihydrodipicolinate reductase"	nc_000913 || bop27		
NC_000913:29651..30799:CDS	nc_000913 & bop27	"carbamoyl phosphate synthetase small subunit, glutamine amidotransferase" || "carbamoyl phosphate synthetase small subunit, glutamine amidotransferase"	nc_000913 || bop27		
NC_000913:30817..34038:CDS	nc_000913 & bop27	"carbamoyl-phosphate synthase large subunit" || "carbamoyl-phosphate synthase large subunit"	nc_000913 || bop27		
NC_000913:34300..34695:CDS	nc_000913 & bop27	"cai operon transcriptional activator" || "cai operon transcriptional activator"	nc_000913 || bop27		
NC_000913:complement(34781..35371):CDS	nc_000913 & bop27	"stimulator of caid and caib enzyme activities" || "stimulator of caid and caib enzyme activities"	nc_000913 || bop27		
NC_000913:complement(35377..36162):CDS	nc_000913 & bop27	"carnitinyl-coa dehydratase" || "carnitinyl-coa dehydratase"	nc_000913 || bop27		
NC_000913:complement(36271..37824):CDS	nc_000913 & bop27	"putative crotonobetaine/carnitine-coa ligase" || "putative crotonobetaine/carnitine-coa ligase"	nc_000913 || bop27		
NC_000913:complement(37898..39115):CDS	nc_000913 & bop27	"crotonobetainyl coa:carnitine coa transferase" || "crotonobetainyl coa:carnitine coa transferase"	nc_000913 || bop27		
NC_000913:complement(39244..40386):CDS	nc_000913 & bop27	"crotonobetaine reductase subunit ii, fad-binding" || "crotonobetaine reductase subunit ii, fad-binding"	nc_000913 || bop27		
NC_000913:complement(40417..41931):CDS	nc_000913 & bop27	"putative transporter" || "putative transporter"	nc_000913 || bop27		
NC_000913:42403..43173:CDS	nc_000913 & bop27	"anaerobic carnitine reduction putative electron transfer flavoprotein subunit" || "anaerobic carnitine reduction putative electron transfer flavoprotein subunit"	nc_000913 || bop27		
NC_000913:43188..44129:CDS	nc_000913 & bop27	"putative electron transfer flavoprotein, nad/fad-binding domain and etfp adenine nucleotide-binding domain-like protein" || "putative electron transfer flavoprotein, nad/fad-binding domain and etfp adenine nucleotide-binding domain-like protein"	nc_000913 || bop27		
NC_000913:44180..45466:CDS	nc_000913 & bop27	"putative oxidoreductase" || "putative oxidoreductase"	nc_000913 || bop27		
NC_000913:45463..45750:CDS	nc_000913 & bop27	"putative 4fe-4s ferredoxin-type protein" || "putative 4fe-4s ferredoxin-type protein"	nc_000913 || bop27		
NC_000913:45807..47138:CDS	nc_000913 & bop27	"putative mfs sugar transporter; membrane protein" || "putative mfs sugar transporter; membrane protein"	nc_000913 || bop27		
